sample	weighted_NSTI
YAE05	0.13319296853018808
BAB01	0.40187304765501686
MVC13	0.2458368972446662
MVC06	0.3210528287512025
MVC23	0.23517817629488216
MVC18	0.1665928064035193
MVC21	0.44833603169095243
YAE25	0.18450471883717104
BAB15	0.3759483277376838
BAN08	0.1956201687102839
YAE01	0.26272420641276084
BAB04	0.21772148244537418
YAE26	0.12497740270740276
MVC05	0.29331811973256505
YAE12	0.20384868482714677
YAE10	0.3010270182787
YAE03	0.23977893102678352
YAE09	0.1567422035470702
YAE17	0.15902924978007435
YAE20	0.1743584932259803
BAB20	0.17815784309727373
MVC08	0.20705289137134386
MVC01	0.18954790399257906
MVC14	0.26079159036327615
MVC11	0.3259105174812516
YAE02	0.13117778799952
YAE22	0.2762843102114834
YAE18	0.2133730689494498
BAB19	0.2360384541578544
YAE07	0.22848186909327495
BAB11	0.008811120723936527
YAE24	0.24015037713502205
BAB08b	0.1988757327550867
BAN05	0.3614534436111185
BAB22	0.3066598388973492
BAB29	0.3127042256281864
YAE15	0.25342111625914815
MVC09	0.2030572635518458
BAB24	0.22439726258472178
BAB16b	0.2917907863815513
YAE19	0.14349258362198347
BAB21	0.3436809340626206
BAB15b	0.28303305246873056
MVC17	0.2933485612377222
BAB10	0.2276355671876949
BAB23	0.1802029544935243
BAN03	0.2537278369278863
BAN07	0.30649820568821023
BAB16	0.23647209500670824
YAE14	0.23381813350425237
MVC03	0.25729783375871806
BAN01	0.3610776514333047
BAB01b	0.3668183235293228
YAE11	0.16815844082638362
BAN02	0.26046559769223215
BAB25	0.26844811749435765
BAN09	0.2568690939482787
YAE25b	0.191310568438104
BAB09	0.2220783437398569
MVC16	0.3293861291209578
MVC12	0.22702958790700165
MVC04	0.3668017040955461
BAB08	0.2985699578080537
BAB30	0.2896071660317951
BAB07	0.2046884040170618
MVC15	0.19834947153052784
BAB06	0.34038812461333295
BAB18	0.3174391377376234
YAE16	0.22937355906433557
